Universidad;Tipo Titulacion;Facultad;titulacion;Título;Autor;Año;URL;Archivo Abstract;Palabras Clave;Idioma Abstract;Categoria
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Valoración de la condición física en el equipo de baloncesto femenino de la Universidad de León = Assessment of physical fitness in Leon University basketball female team;Morán Dionisio, David;2018;https://buleria.unileon.es/handle/10612/7735;abstracts_uhu_TFG\Valoraci_n_de_la_condici_n_f_s_2018_17256905.txt;30x15 IFT, RSA, VO2max, Baloncesto, Mujeres, Universidad de León;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Valoración de la potencia de ejecución con halteras en jugadores de balonmano en distintas categorías de formación =  Valuation of the power of execution with dumbbells in players of handball in different categories of formation;Puertas Castrillo, Luis;2018;https://buleria.unileon.es/handle/10612/7954;abstracts_uhu_TFG\Valoraci_n_de_la_potencia_de_e_2018_15138989.txt;Balonmano, Formación, Potencia;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Vegetarianismo y actividad física = Vegetarianism and physical activity;Díez Fernández, Hugo;2018;https://buleria.unileon.es/handle/10612/7725;abstracts_uhu_TFG\Vegetarianismo_y_actividad_f_s_2018_21584925.txt;Vegetarianismo, Ejercicio físico, Nutrición, Mujeres;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Actitudes hacia la inclusión educación física: revisión bibliográfica = Attitudes towards inclusion in physical education: literature review;Jiménez Medina, Iker;2019;https://buleria.unileon.es/handle/10612/10923;abstracts_uhu_TFG\Actitudes_hacia_la_inclusi_n_e_2019_48640364.txt;Discapacidad, Inclusión, Actitud (Psicología);spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Las actividades acuáticas en el contexto educativo en león: un estudio cualitativo = The aquatic activitities in the school enviroment of Leon: A qualitative study;Fernández Garaot, Diego;2019;https://buleria.unileon.es/handle/10612/10902;abstracts_uhu_TFG\Las_actividades_acu_ticas_en_e_2019_74459277.txt;Actividades acuáticas, Profesores, León, Centros docentes;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Actividades acuáticas para bebés: una propuesta de un programa de actividad acuática de 4 meses a 3 años = Aquatic activities for babies: A proposal of an aquatic activity program from 4 months to 3 years;Perdiz Roda, Manuel;2019;https://buleria.unileon.es/handle/10612/10952;abstracts_uhu_TFG\Actividades_acu_ticas_para_beb_2019_6421873.txt;Actividades acuáticas, Bebés, Programación;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Adquisición y desarrollo de habilidades motrices en el medio acuático: revisión bibliográfica y propuesta de trabajo = Acquisition and development of motor skills in the aquatic environment: bibliographic review and a working proposition;Rodríguez Fernández, Jorge;2019;https://buleria.unileon.es/handle/10612/10964;abstracts_uhu_TFG\Adquisici_n_y_desarrollo_de_ha_2019_45495461.txt;Habilidades motrices, Enseñanza, Aprendizaje, Medio acuático;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis biomecánico de la marcha atlética, diferencias entre género y variables sensibles a la velocidad = Biomechanical analysis of race walking, gender differences and sensitive variable speed;Centeno Esteban, Mario;2019;https://buleria.unileon.es/handle/10612/10860;abstracts_uhu_TFG\An_lisis_biomec_nico_de_la_mar_2019_58533411.txt;Marcha atlética, Rendimiento deportivo, Técnica, Cinemática 3D;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis de la satisfacción del usuario con los centros deportivos de la ciudad de Logroño = Analysis of the satisfaction of the user with the sports centers of the city of Logroño;Lage Pradas, Adrián;2019;https://buleria.unileon.es/handle/10612/10926;abstracts_uhu_TFG\An_lisis_de_la_satisfacci_n_de_2019_78227782.txt;Centros deportivos, Análisis, Satisfacción, Clientes, Calidad, Fidelidad, Logroño;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis de la violencia simbólica ejercida hacia las alumnas en las clases de educación física en la etapa de educación secundaria, desde la teoría de la reproducción de Pierre Bourdieu = Analysis of the symbolic violence exercised towards female students in Physical Education lessons at the stage of Secondary Education, from the Theory of the Reproduction of Pierre Bourdieu;Anakabe Arrizabalaga, Aitziber;2019;https://buleria.unileon.es/handle/10612/10856;abstracts_uhu_TFG\An_lisis_de_la_violencia_simb__2019_22493639.txt;Violencia simbólica, Estereotipo (Psicología), Feminismo;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis de los ataques que terminan en gol en la Liga Santander = Analysis of the offensive plays that end in a goal in the Santander League;Peciña Hereña, Adrián;2019;https://buleria.unileon.es/handle/10612/10949;abstracts_uhu_TFG\An_lisis_de_los_ataques_que_te_2019_22454106.txt;Fútbol, Gol, Análisis, Liga Santander;spa;Deporte
